"","V1","V2","Number","Team"
"Player11",68.5442743848155,33.4402329995925,"11","Team B"
"Player1",55.5184656421429,26.2181088688965,"1","Team B"
"Player2",58.4204644697658,31.2380720951276,"2","Team B"
"Player3",58.4277257875929,36.2883774978841,"3","Team B"
"Player4",55.8580187329551,41.358218567443,"4","Team B"
"Player5",52.4094133710542,33.1215977948445,"5","Team B"
"Player6",54.1318140371775,33.8415749780049,"6","Team B"
"Player7",49.5683683364158,39.4533903647744,"7","Team B"
"Player8",50.3347577662142,38.4285096383603,"8","Team B"
"Player9",47.2178984357857,31.2213290801751,"9","Team B"
"Player10",45.786416352152,35.5531223163328,"10","Team B"
"Player25",30.0017606029437,33.2589610251747,"25","Team A"
"Player15",45.0075548172984,44.0547902951639,"15","Team A"
"Player16",41.8382425743024,38.3106733197704,"16","Team A"
"Player17",42.7806839563562,30.963981420924,"17","Team A"
"Player18",46.2535159288515,24.6505305831676,"18","Team A"
"Player19",52.5559397539353,43.7897710282435,"19","Team A"
"Player20",49.419397726317,32.8078125539581,"20","Team A"
"Player21",47.8294722481105,36.349031160766,"21","Team A"
"Player22",54.5227554435415,26.2732289699381,"22","Team A"
"Player23",57.5940384883787,37.0878788948116,"23","Team A"
"Player24",56.9054072449849,31.9493672453259,"24","Team A"
