"genres","count"
"polish hip hop",495
"permanent wave",48
"pop",175
"modern rock",112
"rock",111
"polish trap",187
"polish alternative",169
"polish alternative rap",192
"polish old school hip hop",70
"beatlesque",40
"british invasion",40
"classic rock",40
"merseybeat",40
"psychedelic rock",40
"polish pop",175
"talent show",35
"uk pop",39
"german soundtrack",33
"orchestral soundtrack",33
"soundtrack",33
"dance pop",79
"edm",59
"pop dance",59
"pop rap",65
"uwielbienie",30
"electro house",28
"moombahton",28
"tropical house",28
"detroit hip hop",27
"hip hop",28
"rap",46
"belarusian indie",19
"russian post-punk",19
"sovietwave",19
"chicago rap",18
"ukrainian rock",16
"polish reggae",15
"piano rock",13
"art pop",10
"electropop",10
"colombian pop",9
"latin pop",9
"adult standards",7
"easy listening",7
"lounge",7
"miami hip hop",6
"gauze pop",4
"indietronica",4
"shiver pop",4
"polish indie",3
"polish alternative rock",2
"g funk",1
"gangster rap",1
"west coast rap",1
